id,popularity
04WnKX9msbP4Vvm26nxIkA,0
04WttLcLKlsuxYxf0hvouB,0
04XRimcx9QuSrtUvWpdkmS,34
04XYmCWsrPaPIb1juv6nQz,34
04XotltZgjuUyxnv1h43u2,0
04ZzbJOLBEhaf8PVQuH96u,55
04a7TQAQPkXBosRi7IovlM,46
04aweMzj1HaG9jN5mwZPtD,0
04bTkYXhpWoyvPI1jGK5JI,40
04bjw38z3kS2QxNp5D3H6o,0
04bpNDkhUXphuWCiVEnmYg,23
04cDBloHQux5HdrunaATPu,25
04ccQGJ1i8gL7JoeCPiJbv,54
04clw2CZuvRzvV54g6Ua4L,46
04czWbqg96KSO8Szz8d0zp,24
04pjfS3YIK6gXjxi1zHeZa,0
04rGuGRjhOMTl4GV3ct9kD,0
04rMpRstoJt3uvqyNGKczX,58
04rZkq3ihHmGNfKPgBiTX1,53
04tQFWQxmSu67bj2tkiH1q,1
04tYWUVxbIYgN7uTxXh4Lv,25
04u9U3bDD9dVZFDDI8v0ME,57
04uA3BJ1Rj8DBKkpKCABJx,65
04uoxhhbwnCl7mqZ7qExB9,30
04vGO36ZMrGzqNjTVdopHL,55
04w57GO5p1763E44KQ8AKB,62
04w9To8oYQ7Mz8l9H0r8h9,0
04wMGA4r7vUnHwe3uvlZIw,0
04wMxAODo0m0fWDJwk7ovy,30
04xHYCZNzofmemkdUPBPUu,20
04xv54hUEufXk0GVTSQ5C9,0
04y7iJXobJhXuxLhC91LAd,48
04yO1WqGaIxTk3QJIVyncw,46
04z8Jp9dEXMwW7SkCYYwWh,42
04zfFfRMXegKi4mMkGMeze,44
04zkiHm6WkDZ0eOx3D9oyD,0
04zxGiXcmNQ0m9oDXtwo18,58
050iNgNKEUrJboOnH4Jhm6,51
051VzpEn17dLinnypLAUNG,35
051urfGQsQOQXSbjIumG9v,34
0526DaOuV7mRlPKxhMSJKw,58
052iZp6wZzt3lIJFzMxfC6,0
052vSBPxqdmYRDlkSPiavc,69
053UvwF3bVLWa63aMOqvqj,0
053xKa7PdxQsJNWmBjV0sv,0
053yoApAqzVFYZQUcf60Zv,45
05BgC2247XGi8ySwBzOO0o,56
05BudzVhSCiO41gooZnpgK,3
05CE2mvaIBPMCHuCfzYIzs,28
05CdjBdnJPjJudklvz2mV7,0
05CrK6Q5VGtfPDtyQFJ4Kf,68
05CyBzeNDePgDP2LhCDGwu,24
05DejmhRYCktQogzOVX1H9,57
05DnYiSsAtNCxSMc9NTyFt,0
05E1O0BB7rJZ9WYV0ceXr3,34
05EC5MnXUDtqzRHFquU3Yl,25
05Ez6KwjICkscWQVTsT3f5,53
05FTszdgQA6GWxAcVIV81a,0
05FVS9qqWq2A82fYCtblkt,57
05Fady7mWXa11DL1QW63NG,11
05FoJWIN3RuqhKU3LlJ6Yj,0
05Fxjq5GKH5uXjZqRhGP88,0
05FzodbU4muihAyc8Hmbcq,14
05GTtG1ckPWfGOC0mHGJ0V,43
05GmMQ1GpEKOegRyNkqPj0,26
05GvhIvS56t5EBoG8YtyCK,45
05HNjbWZuDRdN0l4BVkRk9,43
05HjafWVI238CLw5RDNkas,43
05I0D4A3dljdsi0yqWP0vu,39
05JNG1bQpkLsuva1gJjhY6,26
05JRk1KS7BaSuvkn8L8Ps0,30
05KDPFnTIal5xzWEkVRDKd,6
05KOgYg8PGeJyyWBPi5ja8,64
05KWXjqwfBFBxJwqATEy7D,0
05KeRMxuutPAe5JOVlzZi3,51
05KizhJc5qATFI2D7SauJ5,41
05LCfd8s9n2teUcsTsBAnr,34
05W8V2xN4JqVEE4axviLjj,28
05X6aMCQR09E6smUmw9qms,0
05XKEkmT5Zqy84LHtI5yEL,0
05Xdt8Ub5a84X2he4IFdFm,4
05Xh7W3htzgO7daFhIO8sH,32
05XsaFSfkfX1gp1B8McXen,0
05YWwf91PR4BxqxAXZGjSa,47
05Z2JqKejuY1msOLPl6nZa,51
05Z77MHLPcBA2Wd5eDSJzl,49
05ZACkzW8YbRq3eFgIfSNB,74
05ZAwhxFCpdlwPQurMwG1n,27
05ZBAxwvMvypk0xSt23Lmp,0
05ZRlsGyEem6luYyQSIq9e,0
05ZVTnFGjDTnzQHMxK0Bir,51
05ZXXyeZFhZtA6DAP3Aw7x,60
05ZwvpRTSpE2fxnexxDIRq,38
05Zyga8sPwKRsaJdKqZ8Mr,0
05aCSi3QAay8bgaqOBcvnS,25
05aukqBT2xMVs3rL9pL3fE,0
05bfGVaO6h35RHlCnB4Myo,0
05bhmaAD1urZnQMWNd6p3S,59
05bnEv2dpFzmGVLGdjD9UP,63
05c0LG7DakbvX0gYbBHjPP,58
05c6dW6jQY0NqMev1bR7WF,48
05cDhL5VpNLPFCq84h0mxb,0
05dAlMH3j0touH9SLrCAlZ,22
05dL7chWJaVjMJnGO1YCKk,48
05dumYBOrmR0zLuFhxwxTT,27
05eWvAS5Cxy4sHjlIDofyB,39
05f8Hg3RSfiPSCBQOtxl3i,64
05fHQeRbCSjKVS6z0WbQKJ,70
05re487C0a3bJNZnPfDqMp,41
05s3QOIBGCcxkaKPVnC9Oz,17
05t0KI6zFHDSRT9gdLCAyW,31
05tFLPSXJ1BbqIXy4Jeqfh,57
05te3dXtDTV7g1xGaYeuYr,0
05tn6MGYoFRaXPYQpZmPcc,51
05txJ4mEHszqaS27O4uUfJ,28
05uGBKRCuePsf43Hfm0JwX,65
05up6AmnyYP67Fw97woKWF,0
05uxoqHx5kmfsu8r5jeT11,28
05vm2wrbDRrIj5Lybblnqs,46
05vms8fFZ4KG2J6U6cJ59I,0
05vq4Au0ywympxR4ikk6v4,0
05wB0mSpDASexc98oKZCOw,48
05wIrZSwuaVWhcv5FfqeH0,80
05wMlERb2yQO4a0jwmniY4,0
05wQPS3Btpgs4tyVm5mjIX,0
05wRpBHnbs5xsz8UhRZz3x,19
05wbsMDvcaD56O4SnESOaJ,48
